incident code,customer company group,customer company,create date-time,resolution date-time,incident status,incident descriptio,support group,tower group,domain group,priority,resolution description,assigned organization,inc.category,last modified date,inc type,inc element,aging,localizacion cliente,departamento cliente
INC000001509669,IBERIA,IBERIA,01/04/2021 03:58,,In Progress,Alarm #2 of global parameter 'CPU_Total_Util' triggered on 'VSM_CPU_CNTR.ibexp056pvap03@vm-931_GAUDI,WINDOWS ES,Server Tower,Server Tower,Media,,Unidad de Operaciones Ordenadores,INCIDENT,01/04/2021,PERFORMANCE ISSUE,,0,MANDOS,U.OPERACIONES ORDENADORES (ASXA00)
INC000001509666,IBERIA,IBERIA,01/04/2021 03:32,,Assigned,falla colores a la hora de imprimir,Soporte Equipos Multifuncion,Equipos Multifunción,EUC,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,01/04/2021,DEFAULT,DEFAULT,0,SIN IDENTIFICAR (SAN JOSE DE COSTA RICA),C.AMERICA/C. RICA/RCL (ALSAAAJE)
INC000001509661,IBERIA,IBERIA,01/04/2021 01:07,,Assigned,LINUX - 1012_prd_all::FILE_CHECK::alarmfile::contentcheck mc_host=ibl1012prd003 mc_host_class=Linux,MOVILIDAD,Application Tower,Movilidad,Media,,Mantenimiento Movilidad,INCIDENT,01/04/2021,PERFORMANCE ISSUE,,0,MANDOS,U.OPERACIONES ORDENADORES (ASXA00)
INC000001509658,IBERIA,IBERIA,01/04/2021 00:53,,Assigned,QualityResource: Failure rate increase Problem P-210321638 detected at 00:02 (open for 49 minutes).,AM_MTO_IBIS,Application Tower,Ib.com,Media,,MANTENIMIENTO IB.COM,INCIDENT,01/04/2021,PERFORMANCE ISSUE,,0,SIN IDENTIFICAR,
INC000001509654,IBERIA,IBERIA,01/04/2021 01:02,,Assigned,Sincronizar contraseña del PC con la contraseña de dominio,SSI,Service Ops Tower,Service Ops Tower,Media,,Unidad Control del Servicio,INCIDENT,01/04/2021,ACCESS FAILURE,,0,EDIFICIO T.M.A. - ALMACENES,Conseguidor TMA (AMIRCM02)
INC000001509652,IBERIA,IBERIA,01/04/2021 00:14,,Pending,Equipo comprometido,SSCCLMZ,Service Ops Tower,Service Ops Tower,Alta,,Unidad Control del Servicio,INCIDENT,01/04/2021,SECURITY ISSUE,,0,SIN IDENTIFICAR,
INC000001509651,IBERIA,IBERIA,31/03/2021 23:39,,Assigned,LINUX_sun - bdibel2.ib : Swap area occupied 97.24%. Call out to SOPORTE LINUX-SISTEMA OPERATIVO OnCa,Soporte Linux - Sistema Operativo,Server Tower,Server Tower,Media,,Unidad de Operaciones Ordenadores,INCIDENT,31/03/2021,PERFORMANCE ISSUE,,1,MANDOS,U.OPERACIONES ORDENADORES (ASXA00)
INC000001509600,IAG CARGO,IBERIA,01/04/2021 00:38,,Assigned,LINUX_sun - ERROR Gestor MQSeries: BAW en sercoml1. La cola BA_CARGORES_SSM esta llena al 8.4220% (4,CARGO-OPTIMA,Application Tower,CARGO,Media,,Mantenimiento Cargo,INCIDENT,01/04/2021,PERFORMANCE ISSUE,,0,SIN IDENTIFICAR,
INC000001509587,IBERIA,IBERIA,31/03/2021 21:34,,In Progress,SCOM - Windows on ibtti001pwin01-54050fd9-a776-499e-a6a6-3f94cad0ebd5_IBTTI001PWIN01.iberia.ib NO,WINDOWS ES,Server Tower,Server Tower,Baja,,Unidad de Operaciones Ordenadores,INCIDENT,01/04/2021,PERFORMANCE ISSUE,,1,SIN IDENTIFICAR,
INC000001509585,IBERIA,IBERIA,31/03/2021 21:26,,In Progress,SCOM - Windows on ibcom003nwin03-5e54a980-94d0-477f-807d-2b373e0b8a21_The System Center Management H,WINDOWS ES,Server Tower,Server Tower,Media,,Unidad de Operaciones Ordenadores,INCIDENT,01/04/2021,PROCESS FAILURE,,1,SIN IDENTIFICAR,
INC000001509583,IBERIA,IBERIA,31/03/2021 20:51,,Assigned,LINUX_sun - on beml1 - ial3549prd027 : Connection with ial3549prd027 is lost. mc_host=beml1 mc_hos,Soporte Linux - Sistema Operativo,Server Tower,Server Tower,Media,,Unidad de Operaciones Ordenadores,INCIDENT,31/03/2021,PROCESS FAILURE,,1,SIN IDENTIFICAR,
INC000001509579,IBERIA,IBERIA,31/03/2021 20:47,,Assigned,[TRYP]: Recuperación de fichaje,AIRPORT2,Application Tower,Aeropuertos,Media,,Mantenimiento Aeropuertos,INCIDENT,31/03/2021,SOFTWARE FAILURE,,1,EDIF.101 - HANGAR 3,TMA PROD LINEA MAD (AMNLL0GC)
INC000001509572,IBERIA,IBERIA,31/03/2021 19:10,,Pending,Fallo Software: certificado transavia,IAG EUC Remote Support,EUC,EUC,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,31/03/2021,SOFTWARE FAILURE,,1,IBZ AEROPUERTO,TRAFICO IBIZA (AHAKISAP)
INC000001509571,IBERIA,IBERIA,31/03/2021 18:03,,Assigned,[PORTAL EMPLEADO] Oferta de la bolsa ya no aparece,JAVA Apps Support,Application Tower,RRHH,Baja,,Mantenimiento Corporativa y RRHH,INCIDENT,31/03/2021,SOFTWARE FAILURE,APPLICATION ERROR,1,BCN AEROPUERTO,MNG. ATENCIÓN AL PASAJER (AHABS0)
INC000001509566,IBERIA,IBERIA,31/03/2021 17:49,,Assigned,[PORTAL EMPLEADO] IBPróxima chequeo,JAVA Apps Support,Application Tower,RRHH,Media,,Mantenimiento Corporativa y RRHH,INCIDENT,31/03/2021,SOFTWARE FAILURE,APPLICATION ERROR,1,SIN IDENTIFICAR (VUELO),GESTOR DE FLOTA CM RADIO (ABRW00)
INC000001509565,IBERIA,IBERIA,31/03/2021 18:30,,Pending,Fallo Software:TEAMS no me permite conectarme a las reuniones,IAG EUC Remote Support,EUC,EUC,Baja,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,31/03/2021,SOFTWARE FAILURE,,1,TALLER MOTORES,MNG GEST PROV Y COMPRA ES (AMRF00)
INC000001509563,IBERIA,IBERIA,31/03/2021 17:59,,Assigned,Areas de Servicio que usan Sendgrid,Microsoft o365 Infrastructure,Server Tower,Server Tower,Media,,Unidad de Operaciones Ordenadores,INCIDENT,31/03/2021,SECURITY ISSUE.CYBERATTACKS,PHISING,1,SIN IDENTIFICAR,
INC000001509558,IAG CARGO,IAG CARGO,31/03/2021 17:15,,Assigned,[OPTIMA] Missing quotes from IAD to BCN,CARGO-OPTIMA,Application Tower,CARGO,Media,,Mantenimiento Cargo,INCIDENT,31/03/2021,SOFTWARE FAILURE,APPLICATION ERROR,1,SIN IDENTIFICAR (LHR/NewBusCntr/S122),
INC000001509554,IBERIA,IBERIA,31/03/2021 17:17,,Assigned,password reset issues - IAG160,JAVA Apps Support,Application Tower,RRHH,Media,,Mantenimiento Corporativa y RRHH,INCIDENT,31/03/2021,ACCESS FAILURE,,1,SIN IDENTIFICAR,
INC000001509553,IAG CARGO,IBERIA,31/03/2021 16:54,,Assigned,eCSD created from FWB OCI - missing screening method,CARGO-PORTAL,Application Tower,CARGO,Baja,,Mantenimiento Cargo,INCIDENT,31/03/2021,ACCESS FAILURE,,1,SIN IDENTIFICAR,
INC000001509550,IBERIA,IBERIA,31/03/2021 16:37,,Assigned,Contraseña IBTERM,AIRPORT2,Application Tower,Aeropuertos,Baja,,Mantenimiento Aeropuertos,INCIDENT,31/03/2021,ACCESS FAILURE,PASSWORD,1,EDIF.110 - ALMACENES GENERALES,RESP. FACT. INTERL Y AG D (3KEMV0)
INC000001509542,IBERIA,IBERIA,31/03/2021 16:10,,Assigned,[NDCSUPPORT] Mercado ES - Tarjeta AX - Proveedor AMADEUS = Pagos fallidos desde las 20h de 30/APR,AM_MTO_IBIS,Application Tower,Ib.com,Media,,MANTENIMIENTO IB.COM,INCIDENT,31/03/2021,SOFTWARE FAILURE,APPLICATION ERROR,1,SIN IDENTIFICAR,
INC000001509536,IBERIA,IBERIA,31/03/2021 15:48,,Assigned,[COM] CKI | ERROR UPP CKI - INVALID_PAYABLE_UPGRADING & UNDEFINED_ERROR,AM_MTO_IBCOM,Application Tower,Ib.com,Media,,MANTENIMIENTO IB.COM,INCIDENT,31/03/2021,SOFTWARE FAILURE,APPLICATION ERROR,1,SIN IDENTIFICAR,MNG. SOPOR. APLI. Y CENT. (ASXAG1)
INC000001509534,IBERIA,IBERIA,31/03/2021 15:41,,Pending,SUBASTAS IBCOM: Error en la generación de ficheros,AIRPORT1,Application Tower,Aeropuertos,Baja,,Mantenimiento Aeropuertos,INCIDENT,31/03/2021,SOFTWARE FAILURE,APPLICATION ERROR,1,SIN IDENTIFICAR,MNG. SOPOR. APLI. Y CENT. (ASXAG1)
INC000001509531,IBERIA,IBERIA,31/03/2021 15:34,,Pending,Fallo Software:,IAG SITA Support,EUC,EUC,Baja,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,31/03/2021,SOFTWARE FAILURE,,1,SIN IDENTIFICAR (MADRID BARAJAS),IMP. SERV. PREMIUM HUB MA (BCLTP0BJ)
INC000001509530,IBERIA,IBERIA,31/03/2021 16:11,,Assigned,[SEG016] Usuario cambio de contraseña continuo / expirada,SSI,Service Ops Tower,Service Ops Tower,Baja,,Unidad Control del Servicio,INCIDENT,01/04/2021,ACCESS FAILURE,PASSWORD,1,SIN IDENTIFICAR (VUELO),GESTOR DE FLOTA LARGO RA (ABLY00)
INC000001509529,IBERIA,IBERIA,31/03/2021 15:29,,Pending,Fallo Software:,IAG SITA Support,EUC,EUC,Baja,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,31/03/2021,SOFTWARE FAILURE,,1,SIN IDENTIFICAR (MADRID BARAJAS),IMP. SERV. PREMIUM HUB MA (BCLTP0BJ)
INC000001509525,IBERIA,IBERIA,31/03/2021 17:02,,Pending,contraseña caducada bdgl-scan.ib,DBA-ORACLE-App-Support,Application Tower,DBAs,Media,,Mantenimiento Herramientas IT & DBAs,INCIDENT,31/03/2021,SOFTWARE FAILURE,,1,NEO-MARTINEZ VILLERGAS 49,BI & DATA GOVERNANCE (1T0021)
INC000001509517,IAG CARGO,IBERIA,31/03/2021 14:42,,Assigned,"alert iagcargo1 in Component:threadpool,State:HEALTH_WARN,MBean:ThreadPoolRuntime,ReasonCode:[Thread",CARGO-PORTAL,Application Tower,CARGO,Media,,Mantenimiento Cargo,INCIDENT,31/03/2021,PERFORMANCE ISSUE,,1,SIN IDENTIFICAR,
INC000001509516,IBERIA,IBERIA,31/03/2021 14:41,,Assigned,DAT004: telegrafía está bloqueada,AIRPORT2,Application Tower,Aeropuertos,Media,,Mantenimiento Aeropuertos,INCIDENT,31/03/2021,SOFTWARE FAILURE,,1,LPA AEROPUERTO,PRODUCCION JEFES SERVICIO (AHALS0MC)
INC000001509512,IBERIA,IBERIA,31/03/2021 14:31,,Pending,Fallo Software:,IAG SITA Support,EUC,EUC,Baja,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,31/03/2021,SOFTWARE FAILURE,,1,SIN IDENTIFICAR (MADRID BARAJAS),IMP. SERV. PREMIUM HUB MA (BCLTP0BJ)
INC000001509511,IBERIA,IBERIA,31/03/2021 14:29,,Pending,Fallo Software:,IAG EUC Remote Support,EUC,EUC,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,31/03/2021,SOFTWARE FAILURE,,1,SISTEMAS(MANDOS-ANÁLISIS-PRODU,MNG. DESARROLLO SOPORTE (ASG100)
INC000001509510,IBERIA,IBERIA,31/03/2021 14:37,,Assigned,LINUX_sun - ibcloged2.ib : Filesystem ib-es_logs occupied 75.00%. Assign to AM_MTO_IBIS.,AM_MTO_IBIS,Application Tower,Ib.com,Media,,MANTENIMIENTO IB.COM,INCIDENT,31/03/2021,PERFORMANCE ISSUE,,1,SIN IDENTIFICAR,
INC000001509508,IAG CARGO,IBERIA,31/03/2021 14:13,,In Progress,"alert iagcargo2 in Component:threadpool,State:HEALTH_WARN,MBean:ThreadPoolRuntime,ReasonCode:[Thread",CARGO-PORTAL,Application Tower,CARGO,Media,,Mantenimiento Cargo,INCIDENT,31/03/2021,PERFORMANCE ISSUE,,1,SIN IDENTIFICAR,
INC000001509507,IBERIA,IBERIA,31/03/2021 14:10,,Assigned,LINUX_sun - apgil1.ib : CPU used by users is 96.83%. Call Out to SOPORTE LINUX-SISTEMA OPERATIVO OnC,Soporte Linux - Sistema Operativo,Server Tower,Server Tower,Media,,Unidad de Operaciones Ordenadores,INCIDENT,31/03/2021,PERFORMANCE ISSUE,,1,SIN IDENTIFICAR,
INC000001509500,IBERIA,IBERIA,31/03/2021 13:59,,Pending,EROR EN GEA 28MAR OVDIB,AIRPORT1,Application Tower,Aeropuertos,Baja,,Mantenimiento Aeropuertos,INCIDENT,31/03/2021,DATA ISSUE,,1,OVD AEROPUERTO,
INC000001509499,IBERIA,IBERIA,31/03/2021 13:52,,Pending,MFA Multifactor authentication - Ping ID: Problemas al conectar con VPN.,IAG EUC Remote Support,EUC,EUC,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,31/03/2021,SOFTWARE FAILURE,,1,HANGAR 5,MNG HANGARES 4 Y 5 (AMIRD3)
INC000001509497,IAG CARGO,IAG CARGO,31/03/2021 13:57,,In Progress,Error al enviar FHL 075-49381986 - Server error,CARGO-PORTAL,Application Tower,CARGO,Media,,Mantenimiento Cargo,INCIDENT,31/03/2021,SOFTWARE FAILURE,,1,SIN IDENTIFICAR (MADRID BARAJAS),
INC000001509493,OTHERS,IAG GBS,31/03/2021 13:43,,Assigned,[GLE001]SAP CFS - TESORERIA Y PAGOS module:SII errors at the IB PRA VTAS transactions submission,FINANCE-SUPPORT,Application Tower,FINANCE,Baja,,Mantenimiento Financiero,INCIDENT,31/03/2021,SOFTWARE FAILURE,,1,IAG GBS,
INC000001509491,IBERIA,IBERIA,31/03/2021 14:39,,Assigned,[FCM001] INC000001501199 - FCM001 Lack of data,Aplicaciones BI,Application Tower,BI,Media,,Mantenimiento BI,INCIDENT,31/03/2021,SOFTWARE FAILURE,,1,SIN IDENTIFICAR,MNG. SOPOR. APLI. Y CENT. (ASXAG1)
INC000001509484,IBERIA,IBERIA,31/03/2021 13:20,,Pending,[PDF007] usuario posiblemente bloqueado o de baja,NIIT_MTO_LOYALTY,Application Tower,Comercial y CRM,Baja,,Mantenimiento Comercial y CRM,INCIDENT,31/03/2021,DATA ISSUE,,1,SIN IDENTIFICAR,
INC000001509479,IBERIA,IBERIA,31/03/2021 12:54,,Pending,Fallo Software: Restaurar archivos de carpeta nas,IAG EUC Remote Support,EUC,EUC,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,31/03/2021,SOFTWARE FAILURE,,1,TALLER MOTORES,MODULOS (AMITM0BB)
INC000001509478,IBERIA,IBERIA,31/03/2021 12:51,,Assigned,[TRYP]: DISCREPANCIAS TRYP,AIRPORT2,Application Tower,Aeropuertos,Baja,,Mantenimiento Aeropuertos,INCIDENT,31/03/2021,SOFTWARE FAILURE,,1,EDIF.101 - HANGAR 3,OFICINA ADMINISTRATIVA AZ (AMNLL0A0)
INC000001509475,IBERIA,IBERIA,31/03/2021 12:51,,Pending,Error acceso OBI,Aplicaciones BI,Application Tower,BI,Baja,Se reinician los servicios.,Mantenimiento BI,INCIDENT,31/03/2021,ACCESS FAILURE,,1,NEO-MARTINEZ VILLERGAS 49,NÓMINA (3YRN00)
INC000001509474,IBERIA,IBERIA,31/03/2021 12:48,,Assigned,I1_SOC-1975 - I1-CredentialAccess-T1110-FailedLogonsToManyHostsFromSingleHostWindows-SPL001,Gestión Seguridad Informática,Seguridad,Seguridad,Media,,Unidad Seguridad Informática,INCIDENT,31/03/2021,SECURITY ISSUE,,1,SIN IDENTIFICAR,
INC000001509471,IBERIA,IBERIA,31/03/2021 12:47,,Pending,EFB Tablets de pilotos: He descargado el EWAS y no aparece en escritorio principal.,EFB_Tablets,Delivery,FLIGHT OPERATIONS,Baja,,Mantenimiento Operaciones,INCIDENT,31/03/2021,SOFTWARE FAILURE,,1,SIN IDENTIFICAR (VUELO),FLOTA A320 Pilotos (AVVIC0A1)
